source,author,title,description,category1,coverage,url
Fox Sports,,Chiefs' Travis Kelce responds to Andy Reid's comments on the impact of Taylor Swift,"Travis Kelce is thankful for coach Andy Reid's approval of the presence of Taylor Swift at Chiefs games: ""You know you're doing something right.""",Sports,,https://www.foxsports.com/stories/nfl/chiefs-travis-kelce-responds-to-andy-reids-comments-on-impact-of-taylor-swift
Fox Sports,Fox Sports,Travis Kelce trying to impress Taylor Swift is GREAT for Chiefs | What’s Wright?,"The Kansas City Chiefs were able to take care of business against the Los Angeles Chargers, soundly defeating them at home in Arrowhead 31-17. So how do Patrick Mahomes’ Chiefs avoid complacency with that challenge out of the way? Nick Wright points to one fa…",Sports,,https://www.foxsports.com/watch/fmc-vrs9qr4ig6ki508a
Fox Sports,,"NFL Week 7 top viral moments: LeBron James, Taylor Swift celebrate National Tight Ends Day",There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!,Sports,,https://www.foxsports.com/stories/nfl/nfl-week-7-top-viral-moments-lebron-james-taylor-swift-celebrate-national-tight-ends-day
Fox Sports,Martin Rogers,Does Taylor Swift really swing betting odds when she's at Chiefs games?,"As absurd as the premise sounds that the mere presence of a songstress love interest could appeal to the oddsmakers' soft side, there is at least a statistical starting point for a discussion.",Sports,,https://www.foxsports.com/stories/nfl/does-taylor-swift-really-swing-betting-odds-when-shes-at-chiefs-games
Fox Sports,,Giants' Daniel Jones ruled out for third straight week; Tyrod Taylor to start,"Giants QB Daniel Jones will miss his third straight game with a neck injury, and Tyrod Taylor will start Sunday vs. the Jets.",Sports,,https://www.foxsports.com/stories/nfl/giants-daniel-jones-ruled-out-for-third-straight-week-tyrod-taylor-to-start
Fox Sports,,Buccaneers vs. Bills live updates: Top moments from Thursday Night Football,Week 8 of the NFL season gets underway Thursday with the Bills playing host to the Buccaneers. Here are the top moments!,Sports,,https://www.foxsports.com/stories/nfl/buccaneers-bills-live-updates-top-moments-from-thursday-night-football
Fox Sports,,"NFL Week 7 top viral moments: LeBron James loves big days from Myles Garrett, Lamar Jackson",There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!,Sports,,https://www.foxsports.com/stories/nfl/nfl-week-7-top-viral-moments-lebron-james-loves-big-days-from-myles-garrett-lamar-jackson
Fox Sports,Chris Fallica,FOX Super 6 NFL contest: Chris 'The Bear' Fallica's Week 8 picks,"The FOX Super 6 NFL contest has already given away $70,000. Will you be the next winner? If you need a little help with this week's questions, Chris ""The Bear"" Fallica has you covered!",Sports,,https://www.foxsports.com/stories/nfl/fox-super-6-nfl-contest-chris-the-bear-fallicas-week-8-picks
Fox Sports,Ralph Vacchiano,How Tyrod Taylor has succeeded where Daniel Jones failed with Giants offense,Tyrod Taylor has found a way to get the Giants offense moving. And there are things Daniel Jones can learn from that for when he returns.,Sports,,https://www.foxsports.com/stories/nfl/tyrod-taylor-has-succeeded-where-daniel-jones-failed-with-giants-offense
Fox Sports,,"Patrick Mahomes throws 4 TDs, Travis Kelce has big day as Chiefs beat Chargers","Patrick Mahomes threw for more than 400 yards, nearly half of them to Travis Kelce, and the Chiefs pulled away for a 31-17 win over L.A.",Sports,,https://www.foxsports.com/stories/nfl/patrick-mahomes-throws-4-tds-travis-kelce-has-big-day-as-chiefs-beat-chargers
Fox Sports,,"NFL Week 6 top viral moments: Social media reacts as 49ers lose to Browns, Eagles lose to Jets",The NFL season rolls on with high-powered matchups across the league that have social media buzzing! Check out the moments going viral on social media here.,Sports,,https://www.foxsports.com/stories/nfl/nfl-week-6-top-viral-moments-social-media-reacts-as-49ers-lose-to-browns-eagles-lose-to-jets
Fox Sports,,NFL Week 8 top viral moments: Best Halloween costumes from around the league,"It's Halloween weekend in the NFL, and several players are getting into the spooky spirit with some epic costumes! Check out the best ones we saw here.",Sports,,https://www.foxsports.com/stories/nfl/nfl-week-8-top-viral-moments-best-halloween-costumes-from-around-the-league
Fox Sports,,"NFL Week 7 Top viral moments: LeBron James loves big days from Myles Garrett, Lamar Jackson",There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!,Sports,,https://www.foxsports.com/stories/nfl/nfl-week-7-top-viral-moments-sights-and-sounds-from-around-the-league
NBC News,"Maddie Ellis, TODAY",Taylor Swift wears friendship bracelet with Travis Kelce’s jersey number at Chiefs-Chargers game,Taylor Swift might be the Kansas City Chiefs’ good luck charm.,Sports,,https://www.nbcnews.com/news/us-news/taylor-swift-wears-friendship-bracelet-travis-kelces-jersey-number-chi-rcna121648
NBC News,Rebecca Cohen,"Chiefs lose, Travis Kelce has a tough day in Taylor Swift's absence","High-profile tight end Travis Kelce underperformed against expectations Sunday in the Kansas City Chiefs' loss to the Denver Broncos — and his reported sweetheart, Taylor Swift, wasn't there to see it.",Sports,,https://www.nbcnews.com/pop-culture/pop-culture-news/chiefs-lose-travis-kelce-tough-day-taylor-swifts-absence-rcna122709
Newsweek,Thomas Westerholm,Travis Kelce's Performance Without Taylor Swift Present Sparks Questions,"Still, he passed Pro Football Hall of Fame tight end Tony Gonzalez as the Chiefs' all-time leader in receiving yards on Sunday.",Sports,,https://www.newsweek.com/travis-kelce-quiet-game-without-taylor-swift-present-sparks-questions-1841136
Newsweek,Billie Schwab Dunn,Taylor Swift's Absence at Travis Kelce Game Sparks Conspiracy Theories,Travis Kelce and Taylor Swift have teased their relationship for months. The singer was absent as the Kansas City Chiefs lost their first game of the season.,Sports,,https://www.newsweek.com/taylor-swift-absence-travis-kelce-game-sparks-conspiracy-theories-1839040
USA Today,Prince J. Grimes,"The Taylor Swift bowl, Victor Wembanyama vs. Chet Holmgren and more on this week's betting calendar",NFL Week 11 features a rematch of Super Bowl 57 between the Eagles and Chiefs.,Sports,,https://ftw.usatoday.com/lists/eagles-chiefs-super-bowl-rematch-taylor-swift-betting-calendar
