source,author,title,description,category1,coverage,url
Fox News,Tracy Wright,"Taylor Swift embraced by Travis Kelce's Kansas City Chiefs crew: 'She's letting her guard down,' expert says","Taylor Swift has been welcomed like ""family"" into Travis Kelce's Kansas City Chiefs crew, according to a body language expert who analyzed the pop star's moves with her new friends.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-embraced-travis-kelces-kansas-city-chiefs-crew-shes-letting-her-guard-down-expert
Fox News,Ryan Morik,Cowboys' Micah Parsons explains why Travis Kelce performs better in front of 'bad girl' Taylor Swift,"Kansas City Chiefs tight end Travis Kelce has performed exponentially better when rumored girlfriend Taylor Swift has been to his games, and Dallas Cowboys linebacker Micah Parsons has a theory as to why.",Relationship,,https://www.foxnews.com/sports/cowboys-micah-parsons-explains-travis-kelce-performs-better-bad-girl-taylor-swift
Fox News,Chantz Martin,Chiefs' Travis Kelce hints at traveling to South America to support Taylor Swift's tour during team's bye week,"During a recent podcast episode, two-time Super Bowl champion Travis Kelce played coy about potentially traveling to South America to take in one of Taylor Swift's Eras Tour shows.",Relationship,,https://www.foxnews.com/sports/chiefs-travis-kelce-hints-at-traveling-south-america-support-taylor-swifts-tour-during-teams-bye-week
Fox News,Chantz Martin,Chiefs star Travis Kelce buys new Kansas City home amid rumored romance with Taylor Swift: reports,"Travis Kelce and Taylor Swift's rumored romance appears to be heating up, and the NFL star reportedly purchased a pricey new piece of real estate in suburban Kansas City.",Relationship,,https://www.foxnews.com/sports/chiefs-star-travis-kelce-buys-new-kansas-city-home-amid-rumored-romance-taylor-swift-reports
Fox News,Ashley Hume,Taylor Swift to be joined by Travis Kelce during the international leg of her Eras tour: report,Taylor Swift and Travis Kelce' rumored romance continues to heat up as the NFL star is reportedly planning to visit the singer during the international leg of her Eras tour.,Relationship,,https://www.foxnews.com/entertainment/taylor-swift-joined-travis-kelce-international-eras-tour-report
Fox News,Tracy Wright,Taylor Swift skips Travis Kelce's football games for Eras Tour prep,"Taylor Swift has been a staple at Travis Kelce's Kansas City Chiefs games as of late, but she missed a recent game to focus on her upcoming Eras Tour stops in South America.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-skips-travis-kelces-football-games-eras-tour-prep
Fox News,Paulina Dedaj,Broncos troll Chiefs by blasting Taylor Swift hit throughout the stadium after major upset,The Denver Broncos had a little fun at the expense of Chiefs' star Travis Kelce after they defeated Kansas City on Sunday for the first time since 2015.,Relationship,,https://www.foxnews.com/sports/broncos-troll-chiefs-blasting-taylor-swift-hit-throughout-stadium-major-upset
Fox News,Caroline Thayer,"Taylor Swift & Brittany Mahomes party before Chiefs game, King Charles' reported control over Harry & Meghan","The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-brittany-mahomes-party-before-chiefs-game-king-charles-reported-control-harry-meghan
Fox News,Chantz Martin,Taylor Swift to likely miss Travis Kelce's Chiefs game this Sunday as 'Eras Tour' nears return: reports,"The Grammy Award winning singer has become a fixture at Chiefs home and road games so far this season, where she has supported Travis Kelce from luxury suites.",Relationship,,https://www.foxnews.com/sports/taylor-swift-to-likely-miss-travis-kelces-chiefs-game-this-sunday-as-eras-tour-nears-return-reports
Fox News,Stephanie Giang-Paunon,Gwyneth Paltrow intends to 'literally disappear'; Taylor Swift 'protected and cherished' by Travis Kelce,"The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.",Relationship,,https://www.foxnews.com/entertainment/gwyneth-paltrow-disappear-taylor-swift-protected-travis-kelce
Fox Sports,,Travis Kelce says Taylor Swift's lyric change at Argentina concert 'shocked' him,"Taylor Swift referenced Travis Kelce in a song and embraced the Chiefs star during her ""Eras Tour"" international concert series.",Relationship,,https://www.foxsports.com/stories/nfl/travis-kelce-says-taylor-swifts-lyric-change-at-argentina-concert-shocked-him
Fox Sports,,Travis Kelce reveals the Taylor Swift conversation that 'terrified' him,"Amid increasingly positive rumors around Travis Kelce and Taylor Swift's relationship, the tight end revealed there was one conversation the pop star had with a family member that ""terrified"" him.",Relationship,,https://www.foxsports.com/stories/nfl/travis-kelce-reveals-the-taylor-swift-conversation-that-terrified-him
Fox Sports,Melissa Rohlin,"The Lakers, Clippers and a burner: Behind that fake Austin Reaves-Taylor Swift rumor",The origin of a false viral romance between Lakers guard Austin Reaves and pop superstar Taylor Swift is perhaps even more delicious than the star-studded rumor itself.,Relationship,,https://www.foxsports.com/stories/nba/the-lakers-clippers-and-a-burner-behind-that-fake-austin-reaves-taylor-swift-rumor
Fox Sports,,Could Taylor Swift make it to K.C. for Kelce brothers' Super Bowl rematch?,Taylor Swift is currently touring on another continent. Could she make time to jet back to Kansas City for Travis Kelce's big game next week? Here's a breakdown.,Relationship,,https://www.foxsports.com/stories/nfl/could-taylor-swift-make-it-to-k-c-for-kelce-brothers-super-bowl-rematch
