url,Dun,anto,adrien,ethan
https://www.nbcnews.com/news/us-news/taylor-swift-wears-friendship-bracelet-travis-kelces-jersey-number-chi-rcna121648,Neutral,Positive,,Positive
https://www.buzzfeed.com/ivanapeloza/taylor-swift-adds-three-vancouver-shows-to-the-eras-tour,Neutral,,Neutral,
https://www.buzzfeed.com/mjs538/taylor-swift-throwing-stuff-on-stage,Neutral,,Positive,
https://www.cbc.ca/radio/tapestry/taylor-swift-fandom-spirituality-1.7000176,Positive,,Neutral,
https://www.cbc.ca/news/canada/british-columbia/taylor-swift-vancouver-dates-1.7016290,Positive,,Positive,
https://fortune.com/2023/11/09/employee-expenses-concert-tickets-haircuts-remote-work-brex/,Neutral,,Neutral,
https://www.foxnews.com/entertainment/taylor-swift-cancels-argentina-concert-travis-kelce-arrives,Neutral,,Positive,
https://www.nbcnews.com/news/latino/taylor-swift-spanish-argentina-concert-slang-pedo-rcna124596,Neutral,,Positive,
https://www.washingtonpost.com/dc-md-va/2023/11/01/best-concerts-dc-november/,Neutral,,Positive,
https://time.com/6333509/taylor-swift-eras-tour-cities-songs/,Positive,,Positive,
https://www.cbsnews.com/news/taylor-swift-billionaire-1989-release-eras-tour/,Neutral,,Positive,
https://fortune.com/2023/10/26/taylor-swift-billionaire-net-worth-eras-tour-bloomberg/,Positive,,Positive,
https://abcnews.go.com/Entertainment/wireStory/taylor-swift-chiefs-game-germany-travis-kelce-104613150,Neutral,,Neutral,Neutral
https://abcnews.go.com/Entertainment/wireStory/new-jersey-governor-spent-12k-stadium-events-including-104556827,Negative,,Negative,
https://abcnews.go.com/Entertainment/wireStory/muted-box-office-weekend-dune-part-104643495,Neutral,,Positive,
https://abcnews.go.com/Entertainment/wireStory/travis-kelce-sighting-world-series-sign-taylor-swift-104442775,Neutral,,Neutral,Neutral
https://abcnews.go.com/Business/wireStory/new-jersey-governor-spent-12k-stadium-events-including-104556830,Negative,,Negative,
https://abcnews.go.com/Entertainment/wireStory/partial-list-nominees-66th-grammy-awards-104792563,Positive,,Neutral,
https://abcnews.go.com/Entertainment/wireStory/mtv-cancels-emas-awards-show-paris-citing-israel-104140611,Neutral,,Positive,
https://abcnews.go.com/Entertainment/wireStory/country-musician-megan-moroney-writes-sad-songs-sad-104377790,Neutral,,Neutral,
https://abcnews.go.com/Entertainment/wireStory/video-game-adaptation-nights-freddys-notches-130-million-104461602,Neutral,,Positive,
