source,author,title,description,category,coverage,url
USA Today,Charles Curtis,Taylor Swift fans aren't going to be happy with Terry Bradshaw's Eras Tour lip sync theory,Taylor Swift fans might have some beef with Terry Bradshaw over this one.,Fandom,,https://ftw.usatoday.com/2023/10/taylor-swift-terry-bradshaw-lip-sync-the-herd-video
USA Today,Charles Curtis,"Taylor Swift's best outfits at Chiefs games, ranked: A running tally of what she's worn to watch Travis Kelce",Breaking down the best Taylor Swift fits at Chiefs games.,Fashion,,https://ftw.usatoday.com/lists/taylor-swift-outfits-chiefs-travis-kelce-best-ranked
Newsweek,Billie Schwab Dunn,Taylor Swift and Brittany Mahomes' Budding Friendship,"The friendship between Taylor Swift and Brittany Mahomes, wife of Kansas City Chiefs player Patrick Mahomes, is making headlines. Now, they have a handshake.",Friendship,,https://www.newsweek.com/taylor-swift-brittany-mahomes-budding-friendship-1837216
USA Today,Mary Clarke,Taylor Swift and Brittany Mahomes shared a silly pregame dance in the duo’s return to KC,Taylor Swift and Brittany Mahomes had some adorable fun in their return to Arrowhead Stadium.,Friendship,,https://ftw.usatoday.com/2023/10/taylor-swift-brittany-mahomes-dance-chiefs-pregame-travis-kelce
Buzzfeed,Kristen Harris,"14 Celebs Who Have Literally Offered Their Homes, Money, And Other Resources To Other Celebs","When Taylor Swift first bought her NYC penthouse in 2014, her then-close friend Karlie Kloss stayed over often enough that she essentially had her own room. It had a basket of Karlie's favorite Whole Foods snacks and pictures of her on the wall.View Entire Po…",Gossip,,https://www.buzzfeed.com/kristenharris1/celebs-helped-famous-friends
Fox News,Caroline Thayer,Young Taylor Swift played a song backstage for Britney Spears during 'Oops! ... I Did it Again' tour,"Britney Spears reflected upon meeting a young Taylor Swift, before she was famous, at her own ""Oops! ... I Did It Again"" tour. Spears says Swift played her a song on the guitar.",Gossip,,https://www.foxnews.com/entertainment/young-taylor-swift-played-song-backstage-britney-spears-oops-tour
Fox News,Chantz Martin,US Soccer star Alex Morgan invites Taylor Swift to San Diego Wave games: 'Real football is more fun',"Two-time World Cup champion and San Diego Wave FC star Alex Morgan extended an invite for music superstar Taylor Swift to attend a ""real football game.""",Gossip,,https://www.foxnews.com/sports/us-soccer-star-alex-morgan-invites-taylor-swift-to-san-diego-wave-games-real-football-is-more-fun
Fox Sports,,USWNT star Alex Morgan invites Taylor Swift to NWSL game: 'Real football is more fun',"Taylor Swift has a standing invite to attend another type of football game, to watch Alex Morgan and the San Diego Wave FC in action.",Gossip,,https://www.foxsports.com/stories/soccer/uswnt-star-alex-morgan-invites-taylor-swift-to-nwsl-game-real-football-is-more-fun
Newsweek,Sophie Lloyd,Taylor Swift Video Sparks Wild Theory,"""The coincidences are just too much in my opinion, and I am fully on the train of believing this is Taylor Swift,"" user @chloeandpercy says in the clip.",Gossip,,https://www.newsweek.com/taylor-swift-video-sparks-wild-theory-argylle-elly-conway-1836847
Buzzfeed,Julia Corrigan,"16 Hilarious Fails From The Internet This Week That Will Make You Laugh So Hard You'll Be Texting This Article To Your Friends Saying ""You Have To Look At This""",I had to include the Taylor Swift pumpkin because I have been thinking about it every day.View Entire Post ›,Halloween,,https://www.buzzfeed.com/juliacorrigan/internet-fails-from-this-week-10-30
CNN,Lisa Respers France,Why Ryan Reynolds won't be dressed as Deadpool this Halloween,Boooooo to not seeing our favorite stars trick or treat us by dressing as Marvel characters or Ken and Barbie.,Halloween,,https://www.cnn.com/2023/10/20/entertainment/actors-halloween-costumes/index.html
The Washington Post,Fritz Hahn,"The best Halloween events in D.C. for families, kids and adults","From costume parades to film screenings to pumpkin carving contests, Halloween brings fun for all ages. Here’s what you should do in D.C. over Halloween weekend.",Halloween,,https://www.washingtonpost.com/dc-md-va/2023/10/25/best-halloween-events-dc-kids-adults/
Time,Cady Lang,The Hottest Costume This Halloween? The All-American Couple,What this year's most popular Halloween costumes say about our current attitudes,Halloween,,https://time.com/6328337/halloween-costume-barbie-ken-taylor-swift-travis-kelce/
USA Today,Mary Clarke,Connor Hellebuyck and his wife debut first of many Travis Kelce and Taylor Swift Halloween costumes this season,The Taylor Swift and Travis Kelce Halloween costumes are beginning to roll in.,Halloween,,https://ftw.usatoday.com/2023/10/connor-hellebuyck-wife-travis-kelce-taylor-swift-halloween-costume
CNN,Lisa Respers France,Britney Spears and Jada Pinkett Smith demonstrate the delicate dance of the celeb memoir,"Would you want to revisit your life and your past in order to share it all, both the good and the bad?",Memoir,,https://www.cnn.com/2023/10/28/entertainment/britney-spears-jada-pinkett-memoir-plc/index.html
ABC News,JAKE COYLE AP film writer,"Swift bests Scorsese at box office, but 'Killers of the Flower Moon"" opens strongly","In a movie match-up almost as unlikely as “Barbie” and “Oppenheimer,” Martin Scorsese took on Taylor Swift in cinemas over the weekend",Movie,,https://abcnews.go.com/Entertainment/wireStory/swift-bests-scorsese-box-office-killers-flower-moon-104209104
